onset	duration	trial_type	accuracy	response_time	stim1_file	stim2_file
0.0	4.443	3	1	1.17	RhymeSpell/took.bmp	RhymeSpell/spook2.bmp
4.443	4.443	2	1	0.973	RhymeSpell/quo.bmp	RhymeSpell/glow1.bmp
8.886	4.443	5	1	1.001	Symbols/t.bmp	Symbols/g2.bmp
13.329	4.443	0	1	1.249	RhymeSpell/null.bmp	RhymeSpell/null.bmp
17.772	4.442	3	1	1.141	RhymeSpell/seat.bmp	RhymeSpell/threat1.bmp
22.214	4.443	0	1	1.296	RhymeSpell/null.bmp	RhymeSpell/null.bmp
26.657	4.443	5	1	1.259	Symbols/w.bmp	Symbols/w2.bmp
31.1	4.443	5	1	1.133	Symbols/u.bmp	Symbols/u2.bmp
35.543	4.443	1	1	1.112	RhymeSpell/car.bmp	RhymeSpell/star2.bmp
39.986	4.443	0	1	1.482	RhymeSpell/null.bmp	RhymeSpell/null.bmp
44.429	4.443	3	1	1.112	RhymeSpell/flash.bmp	RhymeSpell/wash1.bmp
48.872	4.442	6	1	1.122	Symbols/mfc.bmp	Symbols/mfc1.bmp
53.314	4.443	0	1	1.285	RhymeSpell/null.bmp	RhymeSpell/null.bmp
57.757	4.443	0	1	1.09	RhymeSpell/null.bmp	RhymeSpell/null.bmp
62.2	4.443	4	1	0.997	RhymeSpell/name.bmp	RhymeSpell/knee2.bmp
66.643	4.443	4	1	1.036	RhymeSpell/cap.bmp	RhymeSpell/north2.bmp
71.086	4.443	0	1	1.262	RhymeSpell/null.bmp	RhymeSpell/null.bmp
75.529	4.442	6	1	1.105	Symbols/crs.bmp	Symbols/cre2.bmp
79.971	4.443	6	1	1.013	Symbols/pcf.bmp	Symbols/kcf2.bmp
84.414	4.443	0	1	1.137	RhymeSpell/null.bmp	RhymeSpell/null.bmp
88.857	4.443	1	1	1.13	RhymeSpell/page.bmp	RhymeSpell/stage2.bmp
93.3	4.443	2	1	1.062	RhymeSpell/woe.bmp	RhymeSpell/show2.bmp
97.743	4.443	0	1	1.11	RhymeSpell/null.bmp	RhymeSpell/null.bmp
102.186	4.442	4	1	1.102	RhymeSpell/scheme.bmp	RhymeSpell/saint1.bmp
106.628	4.443	2	1	1.132	RhymeSpell/foe.bmp	RhymeSpell/stow2.bmp
111.071	4.443	0	1	1.152	RhymeSpell/null.bmp	RhymeSpell/null.bmp
115.514	4.443	6	1	1.157	Symbols/van.bmp	Symbols/van2.bmp
119.957	4.443	6	1	1.116	Symbols/jzd.bmp	Symbols/jbd2.bmp
124.4	4.443	0	1	1.219	RhymeSpell/null.bmp	RhymeSpell/null.bmp
128.843	4.442	5	1	1.241	Symbols/s.bmp	Symbols/j2.bmp
133.285	4.443	0	1	1.209	RhymeSpell/null.bmp	RhymeSpell/null.bmp
137.728	4.443	2	1	1.162	RhymeSpell/weird.bmp	RhymeSpell/beard1.bmp
142.171	4.443	1	1	1.369	RhymeSpell/cage.bmp	RhymeSpell/rage1.bmp
146.614	4.443	3	1	1.052	RhymeSpell/grand.bmp	RhymeSpell/wand2.bmp
151.057	4.443	6	1	1.183	Symbols/ksg.bmp	Symbols/ksj2.bmp
155.5	4.442	3	1	1.243	RhymeSpell/breast.bmp	RhymeSpell/feast1.bmp
159.942	4.443	0	1	1.153	RhymeSpell/null.bmp	RhymeSpell/null.bmp
